ed,pos,time,pontos,u_rank,u_pts,u_ano
19-3,1,Alemanha,1690,0,79,0
19-3,2,Argentina,1454,0,9,3
19-3,3,Brasil,1352,1,-60,0
19-3,4,França,1325,-1,-90,-2
19-3,5,Croácia,1281,6,394,10
19-3,6,Japão,1269,1,235,1
19-3,7,Portugal,1235,-2,-71,-3
19-3,8,Espanha,1006,-2,-63,0
19-3,9,Suiça,933,-1,-36,0
19-3,10,Finlândia,907,6,106,7
19-3,11,Suécia,899,-1,-32,0
19-3,12,Inglaterra,887,-3,-56,-2
19-3,13,Italia,858,-1,-17,-7
19-3,14,Panamá,844,-1,1,2
19-3,15,Colômbia,824,-1,0,-3
19-3,16,Equador,789,-1,-20,4
19-3,17,Jamaica,776,3,54,14
19-3,18,Sérvia,769,-1,-20,-4
19-3,19,Rússia,698,4,-8,-6
19-3,20,Coréia do Sul,692,-1,-39,6
19-3,21,Polônia,687,0,-24,4
19-3,22,Bélgica,684,-4,-51,-4
19-3,23,Holanda,679,-1,-29,-4
19-3,24,Escócia,662,0,4,6
19-3,25,Rep Tcheca,658,3,64,4
19-3,26,México,640,-1,-17,-4
19-3,27,Austrália,624,-1,-19,-4
19-3,28,Nigéria,605,-1,-36,-4
19-3,29,Costa Rica,568,9,192,44
19-3,30,Uruguai,542,-1,-32,-9
19-3,31,Tunísia,508,0,1,6
19-3,32,Bulgária,505,-2,-12,4
19-3,33,Camarões,491,-1,-15,1
19-3,34,Irã,479,-1,-10,-2
19-3,35,Islândia,478,-1,-2,-8
19-3,36,Bósnia,458,-1,-17,-8
19-3,37,Arábia Saudita,449,-1,-3,10
19-3,38,Ucrânia,378,-1,0,7
19-3,39,Honduras,353,2,7,10
19-3,40,Chile,346,-1,-25,-2
19-3,41,Venezuela,331,1,-7,10
19-3,42,Trinidad e Tobago,331,-2,-23,-1
19-3,43,Fiji,326,2,1,10
19-3,44,Marrocos,317,0,-15,-9
19-3,45,Estados Unidos,303,-2,-29,-12
19-3,46,Dinamarca,289,0,-6,-7
19-3,47,Peru,284,0,-3,-1
19-3,48,Irlanda,277,0,-5,7
19-3,49,Hong Kong,257,0,-1,10
19-3,50,Argélia,256,0,-1,67
19-3,51,Egito,248,1,-5,-8
19-3,52,Vietnã,244,2,1,28
19-3,53,Gana,237,-2,-18,-13
19-3,54,Costa do Marfim,234,-1,-10,-10
19-3,55,Senegal,228,1,-1,-3
19-3,56,Geórgia,215,-1,-21,-14
19-3,57,Albania,209,0,3,57
19-3,58,Romênia,189,2,-4,33
19-3,59,Guatemala,188,0,-6,13
19-3,60,Quênia,185,2,4,41
19-3,61,Malawi,185,0,-1,1
19-3,62,Israel,177,-4,-27,-14
19-3,63,Eslováquia,159,0,-13,-13
19-3,64,Paquistão,153,1,-1,0
19-3,65,Paraguai,150,-1,-4,-11
19-3,66,Burkina Faso,147,0,-3,2
19-3,67,Angola,143,0,-6,-11
19-3,68,Moldávia,141,1,-3,-11
19-3,69,Cazaquistão,141,1,0,27
19-3,70,Lituânia,135,1,-5,-12
19-3,71,Turquia,134,1,-3,14
19-3,72,Zâmbia,126,1,-3,-12
19-3,73,Coréia do Norte,123,-5,-21,-12
19-3,74,St Vicente,111,0,-6,21
19-3,75,Noruega,102,0,0,-10
19-3,76,Níger,99,1,2,46
19-3,77,Líbia,95,3,3,38
19-3,78,Grécia,94,0,-2,-15
19-3,79,RD do Congo,94,0,-2,-12
19-3,80,Mali,90,-4,-7,-14
19-3,81,Chade,88,1,0,9
19-3,82,China,86,-1,-4,-12
19-3,83,Bolívia,75,1,-6,-12
19-3,84,Taiti,75,1,-1,-8
19-3,85,Iraque,74,-2,-8,-16
19-3,86,Canadá,74,0,-1,-11
19-3,87,Malta,68,1,1,-9
19-3,88,Congo,65,-1,-3,-11
19-3,89,Vanuatu,65,1,1,13
19-3,90,Cabo Verde,63,1,0,-11
19-3,91,São Cristóvão,62,-2,-3,12
19-3,92,Sudão,56,1,-1,-10
19-3,93,Kwait,55,1,1,-10
19-3,94,Nicarágua,50,1,-1,-8
19-3,95,África do Sul,44,1,-4,-11
19-3,96,Áustria,43,-4,-17,-22
19-3,97,Benin,41,1,0,26
19-3,98,Libéria,40,2,0,26
19-3,99,Nova Zelândia,39,-2,-8,-18
19-3,100,Índia,38,2,0,-8
19-3,101,Bahrein,37,-2,-3,-14
19-3,102,Uganda,37,1,1,17
19-3,103,Ilhas Salomão,34,-2,-4,-15
19-3,104,Togo,29,1,1,-10
19-3,105,Gabão,24,2,0,-6
19-3,106,Liechenstein,24,-2,-9,-17
19-3,107,Irlanda do Norte,20,-1,-7,-14
19-3,108,Azerbaijão,19,1,0,-8
19-3,109,Bielorússia,15,-1,-6,-12
19-3,110,Letônia,14,0,-4,-12
19-3,111,Gales,6,0,-2,-7
19-3,112,Eslovênia,4,0,-1,-6
19-3,113,Hungria,4,0,-1,-8
19-3,114,Estônia,4,0,-1,-7
19-3,115,Zimbábue,2,0,0,-7
19-3,116,Andorra,2,0,0,-7
19-3,117,Guiné,1,0,0,-7
19-3,118,Chipre,1,0,0,-7
19-3,119,Uzbequistão,0,0,0,-6
19-3,120,Macedônia,0,0,0,-4
19-3,121,Armênia,0,0,0,-3
19-3,122,El Salvador,0,0,0,-10
19-3,123,Ruanda,0,0,0,-3
19-3,124,Botsuana,0,0,0,-3
19-3,125,Ilhas Faroe,0,0,0,0
19-3,126,Luxemburgo,0,0,0,0
19-3,127,San Marino,0,0,0,0
