ed,pos,time,pontos,u_rank,u_pts,u_ano
20-2,1,Alemanha,1882,0,0,0
20-2,2,Brasil,1800,0,143,1
20-2,3,Argentina,1505,0,-32,-1
20-2,4,França,1457,0,-59,0
20-2,5,Croácia,1330,1,-16,0
20-2,6,Japão,1283,-1,-86,0
20-2,7,Sérvia,1213,1,-1,11
20-2,8,Portugal,1168,-1,-49,-1
20-2,9,Espanha,1127,0,-69,-1
20-2,10,Rep Tcheca,1094,8,206,15
20-2,11,Suécia,1065,-1,-88,0
20-2,12,Suiça,1044,1,94,-3
20-2,13,Colômbia,1044,2,110,2
20-2,14,Escócia,1010,7,178,10
20-2,15,Nigéria,972,17,319,13
20-2,16,Italia,931,-4,-27,-3
20-2,17,Bulgária,924,8,159,15
20-2,18,Inglaterra,923,-7,-66,-6
20-2,19,Rússia,910,1,36,0
20-2,20,Austrália,906,-1,22,7
20-2,21,Finlândia,876,-5,-22,-11
20-2,22,Panamá,872,-5,-22,-8
20-2,23,Polônia,856,-9,-96,-2
20-2,24,Coréia do Sul,796,-1,-22,-4
20-2,25,Jamaica,787,-3,-37,-8
20-2,26,Equador,749,-2,-39,-10
20-2,27,Chile,701,4,39,13
20-2,28,Costa Rica,674,-1,-38,1
20-2,29,Arábia Saudita,654,8,85,8
20-2,30,Tunísia,638,-4,-84,1
20-2,31,Ucrânia,636,3,41,7
20-2,32,Holanda,633,-4,-76,-9
20-2,33,Bélgica,625,-4,-43,-11
20-2,34,Costa do Marfim,601,7,72,20
20-2,35,México,578,-5,-82,-9
20-2,36,Hong Kong,573,13,246,13
20-2,37,Camarões,571,-2,-19,-4
20-2,38,Honduras,530,7,90,1
20-2,39,Irã,529,-6,-80,-5
20-2,40,Islândia,509,-2,-40,-5
20-2,41,Venezuela,495,-5,-84,0
20-2,42,Trinidad e Tobago,471,-2,-37,0
20-2,43,Argélia,454,-1,-8,7
20-2,44,Uruguai,453,-5,-85,-14
20-2,45,Marrocos,448,1,13,-1
20-2,46,Fiji,439,-3,4,-3
20-2,47,Gana,412,1,13,6
20-2,48,Bósnia,391,-4,-49,-12
20-2,49,Estados Unidos,357,-2,-88,-4
20-2,50,Vietnã,286,0,-10,2
20-2,51,Dinamarca,282,0,-60,-5
20-2,52,Israel,273,1,-54,10
20-2,53,Lituânia,257,2,-24,17
20-2,54,Taiti,249,18,86,30
20-2,55,Irlanda,242,-3,-96,-7
20-2,56,Peru,237,-2,-71,-9
20-2,57,Egito,220,-1,-58,-6
20-2,58,Senegal,213,0,-54,-3
20-2,59,Gales,213,-2,-83,52
20-2,60,Congo,213,-1,-20,28
20-2,61,Mali,196,-1,-48,19
20-2,62,Geórgia,190,-1,-34,-6
20-2,63,Zâmbia,189,1,-36,9
20-2,64,Paquistão,184,-1,-5,0
20-2,65,Albania,174,-3,-50,-8
20-2,66,Quênia,171,0,-24,-6
20-2,67,Romênia,160,-2,-36,-9
20-2,68,RD do Congo,159,0,-35,11
20-2,69,Guatemala,157,-2,-53,-10
20-2,70,China,151,0,-62,12
20-2,71,Grécia,147,2,-35,7
20-2,72,Coréia do Norte,142,-1,-47,1
20-2,73,Malawi,140,-4,-28,-12
20-2,74,Áustria,137,3,-60,22
20-2,75,Angola,130,1,-50,-8
20-2,76,Paraguai,128,-1,-19,-11
20-2,77,Eslováquia,128,-3,-43,-14
20-2,78,Turquia,108,0,-11,-7
20-2,79,Moldávia,108,1,-28,-11
20-2,80,Cazaquistão,106,-1,-24,-11
20-2,81,Burkina Faso,94,0,-35,-15
20-2,82,St Vicente,90,0,-32,-8
20-2,83,Irlanda do Norte,89,2,-42,24
20-2,84,Líbia,80,0,-46,-7
20-2,85,Níger,80,-2,-25,-9
20-2,86,Kwait,79,0,-36,7
20-2,87,Índia,76,0,-9,13
20-2,88,Chade,62,0,-30,-7
20-2,89,Bolívia,61,0,-16,-6
20-2,90,Canadá,60,0,-19,-4
20-2,91,Noruega,57,1,0,-16
20-2,92,São Cristóvão,50,2,-15,-1
20-2,93,Vanuatu,48,2,-18,-4
20-2,94,Iraque,47,-1,-13,-9
20-2,95,Sudão,44,1,-18,-3
20-2,96,África do Sul,36,2,-12,-1
20-2,97,Malta,36,-6,-34,-10
20-2,98,Cabo Verde,35,-1,-29,-8
20-2,99,Benin,34,0,-19,-2
20-2,100,Libéria,33,0,-17,-2
20-2,101,Uganda,32,0,-22,1
20-2,102,Bahrein,31,1,-3,-1
20-2,103,Nova Zelândia,29,-1,-3,-4
20-2,104,Nicarágua,25,0,-5,-10
20-2,105,Ilhas Salomão,23,0,-11,-2
20-2,106,Liechenstein,19,0,-9,0
20-2,107,Togo,18,0,0,-3
20-2,108,Gabão,16,0,-2,-3
20-2,109,Bielorússia,11,0,-1,0
20-2,110,Letônia,11,0,-1,0
20-2,111,Azerbaijão,11,0,-5,-3
20-2,112,Eslovênia,3,0,0,0
20-2,113,Hungria,3,0,0,0
20-2,114,Estônia,3,0,0,0
20-2,115,Zimbábue,1,0,0,0
20-2,116,Andorra,1,0,0,0
20-2,117,Guiné,0,0,0,0
20-2,118,Uzbequistão,0,0,0,1
20-2,119,Macedônia,0,0,0,1
20-2,120,Chipre,0,0,0,-2
20-2,121,Armênia,0,0,0,0
20-2,122,El Salvador,0,0,0,0
20-2,123,Ruanda,0,0,0,0
20-2,124,Botsuana,0,0,0,0
20-2,125,Ilhas Faroe,0,0,0,0
20-2,126,Luxemburgo,0,0,0,0
20-2,127,San Marino,0,0,0,0
