Ano,Jogo,Time1,p1,p2,Time2,Competição,Fase,tr1,tr2,pe1,pe2,Data
19,158,Japão,0,3,Croácia,Copa,Final,,,,,06/06/2021 20:00
19,157,Finlândia,0,1,Alemanha,Copa,D. 3º Lugar,,,,,05/06/2021 20:00
19,156,Croácia,2,1,Alemanha,Copa,Semi-final,,,,,02/06/2021 20:00
19,155,Finlândia,0,2,Japão,Copa,Semi-final,,,,,01/06/2021 20:00
19,154,Alemanha,2,1,Costa Rica,Copa,4as-de-final,1,1,,,29/05/2021 20:00
19,153,Croácia,1,0,Jamaica,Copa,4as-de-final,,,,,29/05/2021 17:00
19,152,Rep Tcheca,2,3,Japão,Copa,4as-de-final,2,2,,,28/05/2021 20:00
19,151,Argentina,1,2,Finlândia,Copa,4as-de-final,1,1,,,28/05/2021 17:00
19,150,Costa Rica,1,0,Suécia,Copa,8vas-de-final,,,,,25/05/2021 20:00
19,149,Coréia do Sul,1,2,Jamaica,Copa,8vas-de-final,,,,,25/05/2021 17:00
19,148,Bulgária,2,4,Alemanha,Copa,8vas-de-final,,,,,24/05/2021 20:00
19,147,Croácia,2,1,Suiça,Copa,8vas-de-final,,,,,24/05/2021 17:00
19,146,Japão,3,1,França,Copa,8vas-de-final,,,,,23/05/2021 20:00
19,145,Finlândia,3,2,Espanha,Copa,8vas-de-final,,,,,23/05/2021 17:00
19,144,Rep Tcheca,4,1,Argélia,Copa,8vas-de-final,,,,,22/05/2021 20:00
19,143,Arábia Saudita,0,2,Argentina,Copa,8vas-de-final,,,,,22/05/2021 17:00
19,142,Portugal,0,1,Suécia,Copa,16-avos-de-final,,,,,21/05/2021 22:00
19,141,Jamaica,2,1,Camarões,Copa,16-avos-de-final,,,,,21/05/2021 20:00
19,140,Equador,1,2,Costa Rica,Copa,16-avos-de-final,,,,,21/05/2021 18:00
19,139,Coréia do Sul,1,0,Polônia,Copa,16-avos-de-final,,,,,21/05/2021 16:00
19,138,Alemanha,4,1,Tunísia,Copa,16-avos-de-final,,,,,20/05/2021 22:00
19,137,Suiça,3,3,Fiji,Copa,16-avos-de-final,3,3,2,1,20/05/2021 20:00
19,136,Bulgária,2,1,Honduras,Copa,16-avos-de-final,,,,,20/05/2021 18:00
19,135,Sérvia,1,2,Croácia,Copa,16-avos-de-final,,,,,20/05/2021 16:00
19,134,França,3,0,Trinidad e Tobago,Copa,16-avos-de-final,,,,,19/05/2021 22:00
19,133,Espanha,3,1,Nigéria,Copa,16-avos-de-final,,,,,19/05/2021 20:00
19,132,Japão,2,2,Bélgica,Copa,16-avos-de-final,2,2,5,3,19/05/2021 18:00
19,131,Vietnã,1,2,Finlândia,Copa,16-avos-de-final,,,,,19/05/2021 16:00
19,130,Escócia,0,1,Argélia,Copa,16-avos-de-final,,,,,18/05/2021 22:00
19,129,Inglaterra,1,3,Argentina,Copa,16-avos-de-final,,,,,18/05/2021 20:00
19,128,Brasil,3,3,Rep Tcheca,Copa,16-avos-de-final,3,3,3,4,18/05/2021 18:00
19,127,Quênia,1,2,Arábia Saudita,Copa,16-avos-de-final,,,,,18/05/2021 16:00
19,126,Portugal,4,0,Camarões,Copa,3ª rodada,,,,,17/05/2021 22:00
19,125,Jamaica,2,1,Chile,Copa,3ª rodada,,,,,17/05/2021 20:00
19,124,Equador,2,2,Polônia,Copa,3ª rodada,,,,,17/05/2021 18:00
19,123,Holanda,0,2,Coréia do Sul,Copa,3ª rodada,,,,,17/05/2021 16:00
19,122,Alemanha,2,0,Fiji,Copa,3ª rodada,,,,,16/05/2021 22:00
19,121,Colômbia,2,1,Tunísia,Copa,3ª rodada,,,,,16/05/2021 20:00
19,120,Croácia,5,2,Malawi,Copa,3ª rodada,,,,,16/05/2021 18:00
19,119,Marrocos,1,3,Sérvia,Copa,3ª rodada,,,,,16/05/2021 16:00
19,118,França,2,1,Nigéria,Copa,3ª rodada,,,,,15/05/2021 22:00
19,117,Trinidad e Tobago,1,1,Venezuela,Copa,3ª rodada,,,,,15/05/2021 20:00
19,116,Japão,2,0,Finlândia,Copa,3ª rodada,,,,,15/05/2021 18:00
19,115,Vietnã,2,0,Bélgica,Copa,3ª rodada,,,,,15/05/2021 16:00
19,114,Argentina,3,2,Burkina Faso,Copa,3ª rodada,,,,,14/05/2021 22:00
19,113,Austrália,1,2,Argélia,Copa,3ª rodada,,,,,14/05/2021 20:00
19,112,Brasil,2,1,Islândia,Copa,3ª rodada,,,,,14/05/2021 18:00
19,111,Rep Tcheca,2,1,Quênia,Copa,3ª rodada,,,,,14/05/2021 16:00
19,110,México,0,2,Camarões,Copa,2ª rodada,,,,,13/05/2021 22:00
19,109,Suécia,2,1,Chile,Copa,2ª rodada,,,,,13/05/2021 20:00
19,108,Irã,0,2,Polônia,Copa,2ª rodada,,,,,13/05/2021 18:00
19,107,Costa Rica,0,0,Coréia do Sul,Copa,2ª rodada,,,,,13/05/2021 16:00
19,106,Romênia,2,3,Fiji,Copa,2ª rodada,,,,,12/05/2021 22:00
19,105,Suiça,1,2,Tunísia,Copa,2ª rodada,,,,,12/05/2021 20:00
19,104,Bulgária,4,0,Malawi,Copa,2ª rodada,,,,,12/05/2021 18:00
19,103,Honduras,0,2,Sérvia,Copa,2ª rodada,,,,,12/05/2021 16:00
