ed,pos,time,pontos,u_rank,u_pts,u_ano
20-3,1,Alemanha,1822,0,-60,0
20-3,2,Brasil,1521,0,-279,1
20-3,3,França,1434,1,-23,1
20-3,4,Argentina,1432,-1,-73,-2
20-3,5,Croácia,1247,0,-83,0
20-3,6,Japão,1209,0,-74,0
20-3,7,Rep Tcheca,1130,3,36,18
20-3,8,Espanha,1100,1,-27,0
20-3,9,Sérvia,1020,-2,-193,9
20-3,10,Suécia,1007,1,-58,1
20-3,11,Portugal,1000,-3,-168,-4
20-3,12,Italia,963,4,32,1
20-3,13,Escócia,917,1,-93,11
20-3,14,Rússia,866,5,-44,5
20-3,15,Colômbia,862,-2,-182,0
20-3,16,Finlândia,835,5,-41,-6
20-3,17,Panamá,832,5,-40,-3
20-3,18,Bulgária,830,-1,-94,14
20-3,19,Nigéria,815,-4,-157,9
20-3,20,Inglaterra,807,-2,-116,-8
20-3,21,Suiça,796,-9,-248,-12
20-3,22,Austrália,759,-2,-147,5
20-3,23,Polônia,706,0,-150,-2
20-3,24,Coréia do Sul,701,0,-95,-4
20-3,25,Jamaica,689,0,-98,-8
20-3,26,Equador,662,0,-87,-10
20-3,27,Chile,608,0,-93,13
20-3,28,Costa Rica,602,0,-72,1
20-3,29,Ucrânia,576,2,-60,9
20-3,30,Holanda,569,2,-64,-7
20-3,31,Arábia Saudita,550,-2,-104,6
20-3,32,Costa do Marfim,536,2,-65,22
20-3,33,Camarões,532,4,-39,0
20-3,34,Tunísia,532,-4,-106,-3
20-3,35,Bélgica,522,-2,-103,-13
20-3,36,Hong Kong,519,0,-54,13
20-3,37,México,493,-2,-85,-11
20-3,38,Irã,470,1,-59,-4
20-3,39,Marrocos,464,6,16,5
20-3,40,Islândia,457,0,-52,-5
20-3,41,Trinidad e Tobago,456,1,-15,1
20-3,42,Honduras,431,-4,-99,-3
20-3,43,Venezuela,421,-2,-74,-2
20-3,44,Argélia,415,-1,-39,6
20-3,45,Uruguai,414,-1,-39,-15
20-3,46,Fiji,397,0,-42,-3
20-3,47,Gana,368,0,-44,6
20-3,48,Bósnia,357,0,-34,-12
20-3,49,Estados Unidos,355,0,-2,-4
20-3,50,Israel,279,2,6,12
20-3,51,Vietnã,259,-1,-27,1
20-3,52,Lituânia,255,1,-2,18
20-3,53,Dinamarca,253,-2,-29,-7
20-3,54,Irlanda,250,1,8,-6
20-3,55,Taiti,242,-1,-7,29
20-3,56,Gales,226,3,13,55
20-3,57,Congo,215,3,2,31
20-3,58,Egito,210,-1,-10,-7
20-3,59,Mali,200,2,4,21
20-3,60,Peru,199,-4,-38,-13
20-3,61,Zâmbia,196,2,7,11
20-3,62,Senegal,186,-4,-27,-7
20-3,63,Albania,177,2,3,-6
20-3,64,Geórgia,172,-2,-18,-8
20-3,65,Romênia,169,2,9,-7
20-3,66,RD do Congo,163,2,4,13
20-3,67,Paquistão,163,-3,-21,-3
20-3,68,China,158,2,7,14
20-3,69,Grécia,156,2,9,9
20-3,70,Guatemala,153,-1,-4,-11
20-3,71,Quênia,151,-5,-20,-11
20-3,72,Áustria,144,2,7,24
20-3,73,Coréia do Norte,142,-1,0,0
20-3,74,Eslováquia,130,3,2,-11
20-3,75,Paraguai,129,1,1,-10
20-3,76,Angola,120,-1,-10,-9
20-3,77,Malawi,119,-4,-21,-16
20-3,78,Moldávia,110,1,2,-10
20-3,79,Turquia,107,-1,-1,-8
20-3,80,Cazaquistão,107,0,1,-11
20-3,81,Burkina Faso,97,0,3,-15
20-3,82,Irlanda do Norte,92,1,3,25
20-3,83,St Vicente,91,-1,1,-9
20-3,84,Líbia,83,0,3,-7
20-3,85,Kwait,81,1,2,8
20-3,86,Níger,81,-1,1,-10
20-3,87,Índia,76,0,0,13
20-3,88,Bolívia,64,1,3,-5
20-3,89,Chade,63,-1,1,-8
20-3,90,Canadá,62,0,2,-4
20-3,91,Noruega,56,0,-1,-16
20-3,92,São Cristóvão,50,0,0,-1
20-3,93,Iraque,49,1,2,-8
20-3,94,Vanuatu,49,-1,1,-5
20-3,95,Sudão,45,0,1,-3
20-3,96,África do Sul,39,0,3,-1
20-3,97,Cabo Verde,36,1,1,-7
20-3,98,Malta,36,-1,0,-11
20-3,99,Benin,35,0,1,-2
20-3,100,Libéria,34,0,1,-2
20-3,101,Uganda,33,0,1,1
20-3,102,Bahrein,32,0,1,-1
20-3,103,Nova Zelândia,27,0,-2,-4
20-3,104,Nicarágua,25,0,0,-10
20-3,105,Ilhas Salomão,23,0,0,-2
20-3,106,Togo,18,1,0,-2
20-3,107,Gabão,17,1,1,-2
20-3,108,Liechenstein,17,-2,-2,-2
20-3,109,Azerbaijão,12,2,1,-1
20-3,110,Bielorússia,9,-1,-2,-1
20-3,111,Letônia,9,-1,-2,-1
20-3,112,Eslovênia,2,0,-1,0
20-3,113,Hungria,2,0,-1,0
20-3,114,Estônia,2,0,-1,0
20-3,115,Zimbábue,1,0,0,0
20-3,116,Andorra,1,0,0,0
20-3,117,Guiné,0,0,0,0
20-3,118,Uzbequistão,0,0,0,1
20-3,119,Macedônia,0,0,0,1
20-3,120,Chipre,0,0,0,-2
20-3,121,Armênia,0,0,0,0
20-3,122,El Salvador,0,0,0,0
20-3,123,Ruanda,0,0,0,0
20-3,124,Botsuana,0,0,0,0
20-3,125,Ilhas Faroe,0,0,0,0
20-3,126,Luxemburgo,0,0,0,0
20-3,127,San Marino,0,0,0,0
