ed,pos,time,pontos,u_rank,u_pts,u_ano
20-1,1,Alemanha,1881,0,191,0
20-1,2,Brasil,1654,1,302,1
20-1,3,Argentina,1534,-1,80,-1
20-1,4,França,1511,0,186,0
20-1,5,Japão,1362,1,93,1
20-1,6,Croácia,1340,-1,59,-1
20-1,7,Portugal,1209,0,-26,0
20-1,8,Sérvia,1195,10,426,10
20-1,9,Espanha,1186,-1,180,-1
20-1,10,Suécia,1140,1,241,1
20-1,11,Inglaterra,974,1,87,1
20-1,12,Italia,942,1,84,1
20-1,13,Suiça,941,-4,8,-4
20-1,14,Polônia,928,7,241,7
20-1,15,Colômbia,919,0,95,0
20-1,16,Finlândia,891,-6,-16,-6
20-1,17,Panamá,888,-3,44,-3
20-1,18,Rep Tcheca,856,7,198,7
20-1,19,Austrália,856,8,232,8
20-1,20,Rússia,855,-1,157,-1
20-1,21,Escócia,812,3,150,3
20-1,22,Jamaica,811,-5,35,-5
20-1,23,Coréia do Sul,799,-3,107,-3
20-1,24,Equador,773,-8,-16,-8
20-1,25,Bulgária,736,7,231,7
20-1,26,Tunísia,694,5,186,5
20-1,27,Costa Rica,685,2,117,2
20-1,28,Holanda,679,-5,0,-5
20-1,29,Bélgica,649,-7,-35,-7
20-1,30,México,629,-4,-11,-4
20-1,31,Chile,629,9,283,9
20-1,32,Nigéria,624,-4,19,-4
20-1,33,Irã,571,1,92,1
20-1,34,Ucrânia,558,4,180,4
20-1,35,Camarões,554,-2,63,-2
20-1,36,Venezuela,549,5,218,5
20-1,37,Arábia Saudita,541,0,92,0
20-1,38,Islândia,531,-3,53,-3
20-1,39,Uruguai,504,-9,-38,-9
20-1,40,Trinidad e Tobago,481,2,150,2
20-1,41,Costa do Marfim,475,13,241,13
20-1,42,Argélia,442,8,186,8
20-1,43,Fiji,422,0,96,0
20-1,44,Bósnia,413,-8,-45,-8
20-1,45,Honduras,405,-6,52,-6
20-1,46,Marrocos,398,-2,81,-2
20-1,47,Estados Unidos,391,-2,88,-2
20-1,48,Gana,361,5,124,5
20-1,49,Hong Kong,321,0,64,0
20-1,50,Vietnã,292,2,48,2
20-1,51,Dinamarca,288,-5,-1,-5
20-1,52,Irlanda,286,-4,9,-4
20-1,53,Israel,271,9,94,9
20-1,54,Peru,270,-7,-14,-7
20-1,55,Lituânia,252,15,117,15
20-1,56,Egito,226,-5,-22,-5
20-1,57,Gales,223,54,217,54
20-1,58,Senegal,220,-3,-8,-3
20-1,59,Congo,204,29,139,29
20-1,60,Mali,197,20,107,20
20-1,61,Geórgia,197,-5,-18,-5
20-1,62,Albania,194,-5,-15,-5
20-1,63,Paquistão,188,1,35,1
20-1,64,Zâmbia,185,8,59,8
20-1,65,Romênia,178,-7,-11,-7
20-1,66,Quênia,177,-6,-8,-6
20-1,67,Guatemala,171,-8,-17,-8
20-1,68,RD do Congo,153,11,59,11
20-1,69,Malawi,152,-8,-33,-8
20-1,70,China,149,12,63,12
20-1,71,Coréia do Norte,149,2,26,2
20-1,72,Taiti,149,12,74,12
20-1,73,Grécia,144,5,50,5
20-1,74,Eslováquia,139,-11,-20,-11
20-1,75,Paraguai,138,-10,-12,-10
20-1,76,Angola,137,-9,-6,-9
20-1,77,Áustria,124,19,81,19
20-1,78,Turquia,119,-7,-15,-7
20-1,79,Cazaquistão,118,-10,-23,-10
20-1,80,Moldávia,113,-12,-28,-12
20-1,81,Burkina Faso,104,-15,-43,-15
20-1,82,St Vicente,102,-8,-9,-8
20-1,83,Níger,91,-7,-8,-7
20-1,84,Líbia,90,-7,-5,-7
20-1,85,Irlanda do Norte,80,22,60,22
20-1,86,Kwait,76,7,21,7
20-1,87,Índia,74,13,36,13
20-1,88,Chade,73,-7,-15,-7
20-1,89,Bolívia,66,-6,-9,-6
20-1,90,Canadá,64,-4,-10,-4
20-1,91,Malta,60,-4,-8,-4
20-1,92,Noruega,57,-17,-45,-17
20-1,93,Iraque,57,-8,-17,-8
20-1,94,São Cristóvão,56,-3,-6,-3
20-1,95,Vanuatu,53,-6,-12,-6
20-1,96,Sudão,45,-4,-11,-4
20-1,97,Cabo Verde,42,-7,-21,-7
20-1,98,África do Sul,38,-3,-6,-3
20-1,99,Benin,38,-2,-3,-2
20-1,100,Libéria,37,-2,-3,-2
20-1,101,Uganda,35,1,-2,1
20-1,102,Nova Zelândia,32,-3,-7,-3
20-1,103,Bahrein,32,-2,-5,-2
20-1,104,Nicarágua,26,-10,-24,-10
20-1,105,Ilhas Salomão,24,-2,-10,-2
20-1,106,Liechenstein,22,0,-2,0
20-1,107,Togo,18,-3,-11,-3
20-1,108,Gabão,17,-3,-7,-3
20-1,109,Bielorússia,12,0,-3,0
20-1,110,Letônia,12,0,-2,0
20-1,111,Azerbaijão,12,-3,-7,-3
20-1,112,Eslovênia,3,0,-1,0
20-1,113,Hungria,3,0,-1,0
20-1,114,Estônia,3,0,-1,0
20-1,115,Zimbábue,1,0,-1,0
20-1,116,Andorra,1,0,-1,0
20-1,117,Guiné,0,0,-1,0
20-1,118,Uzbequistão,0,1,0,1
20-1,119,Macedônia,0,1,0,1
20-1,120,Chipre,0,-2,-1,-2
20-1,121,Armênia,0,0,0,0
20-1,122,El Salvador,0,0,0,0
20-1,123,Ruanda,0,0,0,0
20-1,124,Botsuana,0,0,0,0
20-1,125,Ilhas Faroe,0,0,0,0
20-1,126,Luxemburgo,0,0,0,0
20-1,127,San Marino,0,0,0,0
